wl,k
0.2066,1.00019623096
0.21089508319,1.04375208563
0.215279458439,1.08759246432
0.219754982075,1.1318035669
0.224323549012,1.17647037964
0.228987093564,1.22167863626
0.233747590255,1.26751693401
0.238607054657,1.31407915945
0.243567544248,1.361467373
0.248631159276,1.40979524856
0.253800043655,1.45919202514
0.259076385867,1.50980665375
0.264462419893,1.56181139434
0.269960426156,1.61540356495
0.275572732488,1.67080359033
0.281301715116,1.72824716088
0.287149799665,1.78796947632
0.293119462189,1.85018045916
0.299213230217,1.91503154226
0.305433683824,1.98257691219
0.311783456723,2.05273433324
0.318265237381,2.12525211367
0.324881770154,2.19968876636
0.331635856454,2.27541027996
0.338530355932,2.35160705996
0.345568187689,2.42732934518
0.352752331512,2.50153712573
0.360085829136,2.57315886759
0.367571785533,2.6411528388
0.375213370223,2.70456533481
0.383013818621,2.76258124798
0.390976433402,2.81456384947
0.399104585903,2.86008207201
0.407401717548,2.89892483102
0.415871341306,2.93110291904
0.42451704318,2.95683973743
0.433342483722,2.9765526026
0.442351399584,2.99082661664
0.451547605104,3.00038316531
0.460934993913,3.00604504477
0.470517540592,3.00870006695
0.480299302349,3.0092647922
0.49028442074,3.00864981996
0.50047712342,3.00772785679
0.510881725935,3.00730558658
0.521502633549,3.0081001882
0.532344343107,3.01072116737
0.543411444943,3.01565797264
0.554708624818,3.02327363063
0.56624066591,3.03380435462
0.578012450835,3.04736476123
0.590028963715,3.06395800077
0.602295292289,3.08348981053
0.614816630068,3.10578528513
0.627598278532,3.13060706094
0.640645649374,3.15767364846
0.653964266795,3.18667680671
0.667559769839,3.21729710378
0.681437914784,3.2492171016
0.695604577575,3.28213189542
0.710065756315,3.31575699209
0.724827573806,3.34983370498
0.739896280135,3.38413237077
0.755278255329,3.41845375818
0.770980012047,3.45262905432
0.787008198346,3.48651879367
0.803369600489,3.52001105286
0.820071145824,3.55301918182
0.837119905712,3.58547928735
0.854523098523,3.61734763417
0.872288092693,3.6485980833
0.890422409845,3.67921965062
0.908933727968,3.7092142384
0.927829884674,3.73859456974
0.947118880514,3.76738233893
0.966808882365,3.79560657867
0.986908226887,3.82330223678
1.00742542406,3.85050894985
1.02836916076,3.87726999845
1.0497483045,3.90363142666
1.07157190709,3.9296413089
1.09384920857,3.95534914708
1.11658964103,3.9808053823
1.13980283269,4.0060610063
1.16349861191,4.03116725936
1.18768701137,4.05617540274
1.21237827235,4.08113655486
1.237582849,4.10610158199
1.26331141285,4.13112103517
1.28957485725,4.15624512624
1.31638430203,4.18152373674
1.34375109819,4.20700645445
1.37168683271,4.2327426328
1.40020333347,4.2587814694
1.42931267422,4.2851721
1.45902717974,4.31196370526
1.48935943101,4.33920562755
1.52032227059,4.36694749578
1.55192880799,4.3952393562
1.58419242529,4.42413180768
1.61712678277,4.45367613985
1.65074582469,4.48392447291
1.6850637852,4.51492989778
1.72009519439,4.5467466156
1.75585488439,4.57943007551
1.7923579957,4.6130371096
1.82961998359,4.64762606414
1.86765662461,4.68325692607
1.90648402331,4.71999144364
1.94611861905,4.7578932402
1.98657719294,4.79702792001
2.02787687497,4.83746316489
2.07003515123,4.87926882034
2.11306987137,4.92251697002
2.15699925609,4.9672819969
2.2018419049,5.01364062986
2.24761680399,5.06167197389
2.29434333425,5.1114575226
2.34204127949,5.16308115104
2.39073083481,5.21662908746
2.44043261516,5.27218986213
2.49116766405,5.32985423182
2.54295746248,5.3897150783
2.59582393804,5.45186727966
2.64978947414,5.51640755331
2.70487691958,5.58343426995
2.76110959812,5.65304723793
2.81851131845,5.72534745829
2.8771063842,5.80043685079
2.93691960427,5.87841795226
2.99797630331,5.95939358896
3.06030233246,6.0434665255
3.1239240803,6.13073909345
3.188868484,6.22131280374
3.25516304072,6.31528794715
3.32283581931,6.41276318847
3.39191547211,6.51383515984
3.46243124716,6.6185980595
3.53441300053,6.7271432624
3.60789120897,6.83955894911
3.68289698284,6.95592975923
3.75946207926,7.07633647538
3.83761891556,7.20085574304
3.91740058299,7.3295598309
3.99884086078,7.46251643525
4.08197423038,7.59978853103
4.1668358901,7.7414342709
4.25346176999,7.88750693241
4.34188854708,8.0380549122
4.43215366088,8.19312176499
4.52429532923,8.35274628398
4.61835256454,8.51696261859
4.71436519021,8.6858004243
4.81237385758,8.85928503946
4.91242006309,9.03743768298
5.01454616587,9.2202756671
5.11879540566,9.40781261937
5.22521192114,9.60005870816
5.3338407686,9.79702086662
5.44472794102,9.99870301013
5.55792038754,10.2051062433
5.67346603336,10.4162290532
5.79141379999,10.6320674851
5.91181362602,10.8526152999
6.0347164882,11.0778641106
6.16017442306,11.3078034974
6.28824054896,11.5424211008
6.41896908852,11.7817026931
6.55241539166,12.0256322284
6.68863595894,12.2741918724
6.82768846557,12.5273620129
6.96963178576,12.7851212529
7.11452601772,13.0474463868
7.26243250901,13.3143123632
7.41341388261,13.5856922343
7.56753406337,13.8615570957
7.72485830511,14.1418760162
7.88545321822,14.4266159625
8.04938679789,14.7157417181
8.21672845289,15.0092157996
8.38754903495,15.3069983729
8.56192086874,15.6090471689
8.73991778256,15.9153174036
8.92161513952,16.2257617011
9.10708986948,16.5403300242
9.29642050165,16.8589696113
9.48968719778,17.1816249235
9.68697178616,17.5082376019
9.88835779621,17.8387464366
10.0939304939,18.1730873495
10.3037769178,18.511193391
10.517985916,18.852994752
10.7366481837,19.1984187922
10.9598563014,19.547390086
11.1877047746,19.8998304851
11.4202900733,20.2556592008
11.6577106731,20.6147929036
11.9000670968,20.9771458428
12.1474619572,21.3426299846
12.4,21.7111551698
